Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,4.0,3.1,1.0,0.9,Iris-versicolor
2,5.8,2.3,4.3,1.1,Iris-setosa
3,5.6,2.8,4.6,0.2,Iris-versicolor
4,7.0,4.0,3.1,0.6,Iris-setosa
5,6.1,3.3,5.9,1.6,Iris-virginica
6,4.4,3.4,4.4,1.8,Iris-versicolor
7,7.0,2.4,2.1,0.8,Iris-virginica
8,6.6,2.2,2.7,0.6,Iris-versicolor
9,4.6,2.1,5.0,1.2,Iris-versicolor
10,5.8,3.7,6.0,1.7,Iris-versicolor
11,6.4,2.9,4.7,2.4,Iris-setosa
12,6.5,2.2,4.7,1.7,Iris-virginica
13,4.3,4.4,2.4,0.4,Iris-virginica
14,7.4,4.2,5.9,1.2,Iris-versicolor
15,5.7,4.3,3.5,2.4,Iris-setosa
16,7.1,3.0,6.0,1.6,Iris-setosa
17,5.4,4.2,5.6,2.0,Iris-virginica
18,6.9,4.1,2.7,2.2,Iris-setosa
19,5.5,2.5,2.4,0.2,Iris-virginica
20,7.2,2.4,2.8,1.0,Iris-setosa
21,7.1,3.2,3.2,0.7,Iris-setosa
22,4.0,3.1,2.6,1.4,Iris-setosa
23,6.0,4.1,6.1,2.1,Iris-versicolor
24,4.0,2.6,4.3,0.9,Iris-versicolor
25,6.1,3.9,3.5,0.9,Iris-virginica
26,5.8,2.4,2.7,1.5,Iris-setosa
27,6.8,3.9,3.2,0.1,Iris-setosa
28,4.4,3.8,1.0,2.0,Iris-setosa
29,4.3,2.4,1.3,0.9,Iris-virginica
30,4.4,2.4,3.0,1.3,Iris-versicolor
31,4.9,3.0,3.2,2.4,Iris-setosa
32,7.4,4.0,3.9,0.6,Iris-versicolor
33,5.1,3.9,4.0,1.9,Iris-setosa
34,7.0,2.4,4.3,0.6,Iris-versicolor
35,6.6,3.8,3.8,0.2,Iris-versicolor
36,6.1,4.3,5.5,2.3,Iris-versicolor
37,4.8,3.4,4.2,2.3,Iris-setosa
38,6.9,4.3,6.1,1.3,Iris-setosa
39,4.3,3.8,2.4,0.2,Iris-virginica
40,6.7,3.8,1.5,1.3,Iris-virginica
41,6.9,3.5,4.2,1.6,Iris-versicolor
42,6.9,3.5,5.6,0.8,Iris-setosa
43,4.3,2.1,2.3,1.0,Iris-versicolor
44,5.3,4.3,4.0,1.1,Iris-setosa
45,5.3,2.9,6.0,1.0,Iris-virginica
46,5.7,2.1,4.3,0.2,Iris-versicolor
47,6.7,2.1,2.4,0.9,Iris-setosa
48,4.1,2.8,5.0,0.7,Iris-versicolor
49,5.9,3.8,3.0,0.2,Iris-virginica
50,6.2,2.1,4.0,2.3,Iris-virginica
